Code,Label,unemploy,low_birth_weight,male_exp,fem_exp,obesity,deprivation
E05000026,Abbey,10.3,9.5,79.3,88.2,3,31.3
E05000027,Alibon,8.7,5.3,77,83,2,35.4
E05000028,Becontree,9.2,7.8,75.2,81.4,2,35.3
E05000029,Chadwell Heath,8,6.8,78.3,82.2,2,32.1
E05000030,Eastbrook,8,7.5,76.8,80.8,2,25.3
E05000031,Eastbury,9,8.7,79,83.3,2,33.2
E05000032,Gascoigne,9,9.5,77.5,85.9,2,37.1
E05000033,Goresbrook,8.5,6.5,77.2,82.6,2,33.3
E05000034,Heath,9.3,7.2,77.6,80.2,2,35.9
E05000035,Longbridge,6.8,9.5,80.1,85.3,3,21.2
E05000036,Mayesbrook,8.9,7.4,78,81.7,2,38.2
E05000037,Parsloes,8,6.8,77.2,82.5,2,32.5
E05000038,River,9,6.8,74.7,80,1,32.9
E05000039,Thames,8.6,9.5,77.8,81.5,2,36.4
E05000040,Valence,8.6,7.1,75.5,81.2,2,36.4
E05000041,Village,9.5,7,76.1,80.9,2,36.1
E05000042,Whalebone,7.5,7,79.3,85.3,2,24.5
E05000043,Brunswick Park,4.7,6.7,81.8,85.5,5,13.1
E05000044,Burnt Oak,7.9,7.2,78.6,81.7,5,28
E05000045,Childs Hill,6.6,5.7,82.2,84.8,5,19.7
E05000046,Colindale,6.8,6.8,83.1,85.7,5,25.2
E05000047,Coppetts,5.7,5.6,80.5,83.3,5,16.6
E05000048,East Barnet,5.6,6.4,82.6,85.4,5,15
E05000049,East Finchley,4.9,7.3,83.3,85.6,5,15.1
E05000050,Edgware,6.1,6.9,84.5,87.4,5,14.9
E05000051,Finchley Church End,5.3,4.9,85.7,89.8,5,10.5
E05000052,Garden Suburb,3.6,6.4,86,90.5,5,9.1
E05000053,Golders Green,7,6.8,81.7,84.9,5,19.2
E05000054,Hale,5.6,6.9,82,85.6,5,15.6
E05000055,Hendon,7.2,6.8,81.6,86.3,5,16
E05000056,High Barnet,4.2,6.9,80.7,85.1,5,11.1
E05000057,Mill Hill,5,6.2,84,86.8,5,13.9
E05000058,Oakleigh,5.2,7.6,81.6,86.8,5,11.9
E05000059,Totteridge,3.6,6.6,83.3,86.8,5,9.8
E05000060,Underhill,5.5,6.4,80.6,83.6,5,19.9
E05000061,West Finchley,5.1,5.2,81.5,85.8,5,12.1
E05000062,West Hendon,6.7,6.4,79.8,85,5,19.5
E05000063,Woodhouse,6.1,8.9,81.4,86,5,16.2
E05000085,Alperton,6.4,12.5,81.9,87.9,5,22.5
E05000086,Barnhill,8.6,6.3,78.4,81.1,5,25.2
E05000087,Brondesbury Park,7.2,8.1,81.4,86.4,5,21.5
E05000088,Dollis Hill,11.8,7.7,82.6,87.1,5,29.5
E05000089,Dudden Hill,10.3,7,83,87,5,27.5
E05000090,Fryent,7.8,7.4,79.9,83.8,5,19.9
E05000091,Harlesden,14,8.4,77.6,84.3,4,39.6
E05000092,Kensal Green,11.5,6.9,79.8,86.1,5,28.4
E05000093,Kenton,5.1,9.6,87,91.3,5,13
E05000094,Kilburn,10.6,8.2,80,84.8,5,31.1
E05000095,Mapesbury,8.9,5.7,80.9,87,5,24.2
E05000096,Northwick Park,4.9,8.5,81.2,85,5,14.9
E05000097,Preston,7.1,9,83.1,84.8,5,20.8
E05000098,Queens Park,7.4,6.3,82.9,86.7,5,19
E05000099,Queensbury,7.6,8.6,80.5,85.9,5,19.9
E05000100,Stonebridge,14.2,7.8,76,80.6,4,45.3
E05000101,Sudbury,7,9.5,79.7,84.2,5,22.2
E05000102,Tokyngton,6.1,7.6,79.8,84.6,5,21.9
E05000103,Welsh Harp,9.5,6.7,80.7,86,5,27.6
E05000104,Wembley Central,6.4,10,82,87.4,5,23
E05000105,Willesden Green,9.9,7.9,78.1,86.2,5,29.9
E05000106,Bickley,2.7,4.8,80.5,82.7,4,8.2
E05000107,Biggin Hill,3.5,6.2,82.3,85.1,4,9.3
E05000108,Bromley Common and Keston,4.2,6.3,81.5,84.6,4,15.9
E05000109,Bromley Town,4.2,7.1,80,83.6,4,10.7
E05000110,Chelsfield and Pratts Bottom,2.1,6.1,81.7,85.7,4,6.7
E05000111,Chislehurst,2.6,6.4,81.3,84.7,4,9.8
E05000112,Clock House,4.3,6.1,80.2,85.6,4,12.4
E05000113,Copers Cope,3.6,4.9,81,86.1,4,11.4
E05000114,Cray Valley East,5.6,5.7,79,83.5,4,27.2
E05000115,Cray Valley West,5.9,8,77.9,83.9,5,28.3
E05000116,Crystal Palace,6.5,7.6,78.3,80.9,4,26.3
E05000117,Darwin,3.3,4.2,82.5,84.3,3,15
E05000118,Farnborough and Crofton,2.6,5.2,82.7,87.2,4,8.4
E05000119,Hayes and Coney Hall,2.6,6.6,83.4,87.5,4,7.2
E05000120,Kelsey and Eden Park,3.2,7.3,83.5,87.3,4,10.7
E05000121,Mottingham and Chislehurst North,6.5,5.6,80,83.8,4,28
E05000122,Orpington,4.4,7.2,81.7,86.2,4,16.1
E05000123,Penge and Cator,6.4,6.9,79.3,84.4,4,22.2
E05000124,Petts Wood and Knoll,2.1,4.4,84.2,88,4,5
E05000125,Plaistow and Sundridge,5,7.5,80.2,83.3,4,17.6
E05000126,Shortlands,2.4,6.1,84.1,86,4,6.3
E05000127,West Wickham,2.4,6,84.5,85.9,4,6.2
E05000128,Belsize,3.2,6.6,85.3,89.8,5,11.9
E05000129,Bloomsbury,4.4,8,84.1,87.8,5,17.2
E05000130,Camden Town with Primrose Hill,5.4,7.1,83.4,90.8,5,24.1
E05000131,Cantelowes,5.1,6.6,80.8,86.6,5,23.8
E05000132,Fortune Green,4.9,7.6,82.6,87.8,5,17
E05000133,Frognal and Fitzjohns,2.1,6.7,89.3,90.7,5,7.1
E05000134,Gospel Oak,6.1,8,81.8,83.8,5,23.5
E05000135,Hampstead Town,2.1,6.6,87.4,93,5,7.2
E05000136,Haverstock,5.6,8.1,80.7,85.4,5,27.1
E05000137,Highgate,5,5.3,84.8,86.9,5,18.5
E05000138,Holborn and Covent Garden,5.1,9.2,82.5,91.9,5,21.1
E05000139,Kentish Town,4.7,6.9,79.7,85.6,5,18.8
E05000140,Kilburn,7.1,7.7,76.9,83.9,5,29.3
E05000141,King's Cross,4.5,8.8,84.8,87,5,24.9
E05000142,Regent's Park,5.4,8.7,81.1,84.5,5,26.1
E05000143,St Pancras and Somers Town,5.9,8.8,78.2,83.5,5,32.5
E05000144,Swiss Cottage,3,5.7,83.7,88.8,5,13.3
E05000145,West Hampstead,4.3,7,85.6,89.2,5,16.6
E05000170,Acton Central,8.9,6.3,80.1,85.1,5,24.1
E05000171,Cleveland,7.7,7.3,81.8,86.3,5,21.7
E05000172,Dormers Wells,10,8.1,79.2,85.2,5,29
E05000173,Ealing Broadway,5.9,5.9,81.3,85.4,5,16.4
E05000174,Ealing Common,7.2,6.6,81.2,84.9,5,20.1
E05000175,East Acton,8.4,8.7,81.9,84.8,5,24.7
E05000176,Elthorne,8.9,7.7,78.6,82.2,5,24.2
E05000177,Greenford Broadway,9.5,7.5,77.6,83.2,5,27.1
E05000178,Greenford Green,7.6,6.2,80.5,84.6,5,19.1
E05000179,Hanger Hill,6.3,5.4,82.9,86.2,5,14.6
E05000180,Hobbayne,9,6.2,82.1,85.5,5,23.4
E05000181,Lady Margaret,8.1,11.3,79.2,82.7,5,20.6
E05000182,Northfield,4.7,7.5,82.8,87.9,5,11.1
E05000183,North Greenford,7.1,8.8,82.8,85.6,5,16
E05000184,Northolt Mandeville,8.9,6.3,81.1,84.1,5,27.2
E05000185,Northolt West End,10.3,5.3,80.9,82.9,5,33.3
E05000186,Norwood Green,9.4,8.7,76.7,81,5,32.9
E05000187,Perivale,8.4,6.7,81.1,86.1,5,17.7
E05000188,South Acton,9,6.2,76.5,82.5,5,29
E05000189,Southall Broadway,10.3,8.8,78,84.7,5,30.2
E05000190,Southall Green,9.5,7.9,79.8,83.7,5,27.9
E05000191,Southfield,5,4.6,82.3,86.2,5,12.7
E05000192,Walpole,6.2,6.4,80.8,84.7,5,14.9
E05000193,Bowes,8.5,6.4,79.7,86.5,4,21.2
E05000194,Bush Hill Park,5,7.9,82.1,84.5,3,13.7
E05000195,Chase,6.3,6.9,78.7,82.7,4,25.9
E05000196,Cockfosters,4.7,7.3,81.7,85.5,4,16
E05000197,Edmonton Green,11.4,9,78.3,84.7,3,41.9
E05000198,Enfield Highway,8.7,10.6,79.1,84.9,4,33.3
E05000199,Enfield Lock,8.3,8.9,78.5,82.5,4,32.2
E05000200,Grange,4,6.2,84.5,86.3,3,12.3
E05000201,Haselbury,10.2,8.9,80.9,84.3,3,31.8
E05000202,Highlands,3.9,6.7,82.2,87.5,3,16
E05000203,Jubilee,9.7,8.1,78.1,83.5,3,32.6
E05000204,Lower Edmonton,11.5,9.5,79.2,84.3,3,35.2
E05000205,Palmers Green,7.5,7.7,80.6,87.3,4,20.3
E05000206,Ponders End,9.9,10.5,79.1,85.4,4,34.5
E05000207,Southbury,7.8,7.6,79.7,82.5,4,29.1
E05000208,Southgate,5,6.5,81.4,85.7,4,13.8
E05000209,Southgate Green,6,7.4,82.7,85.6,4,16.9
E05000210,Town,4.2,5.5,82,88.2,3,13.3
E05000211,Turkey Street,8.4,9.6,78.7,82.2,4,35.3
E05000212,Upper Edmonton,9.9,9,75.7,80.6,3,36.2
E05000213,Winchmore Hill,5.2,5.5,81.5,85.6,3,12.9
E05000214,Abbey Wood,7.4,8.5,78.5,82,3,30.5
E05000215,Blackheath Westcombe,4.3,5.9,81.1,84,4,15.4
E05000216,Charlton,6.8,7.9,78.2,82.7,4,25.1
E05000217,Coldharbour and New Eltham,5.4,5.3,77.2,82.3,4,19.2
E05000218,Eltham North,4,8.6,81.4,85.6,4,14.1
E05000219,Eltham South,5.3,6.5,82.2,84.5,5,18.1
E05000220,Eltham West,7.4,5.3,78.8,82.1,4,31.6
E05000221,Glyndon,8.5,8.4,76.7,81.1,3,27.6
E05000222,Greenwich West,5,7.3,79.4,82.4,5,20
E05000223,Kidbrooke with Hornfair,6.8,7.3,78.4,83.7,4,27.7
E05000224,Middle Park and Sutcliffe,6.7,6.8,79.7,83.5,4,29.1
E05000225,Peninsula,5.2,6.2,79.6,81.8,5,24
E05000226,Plumstead,9.2,7.7,79.3,83.1,4,25.8
E05000227,Shooters Hill,6.1,6.6,82.1,84.2,3,17.5
E05000228,Thamesmead Moorings,7.4,9.4,76.8,78.5,3,25.1
E05000229,Woolwich Common,9.1,7.7,76.9,80.9,4,31.5
E05000230,Woolwich Riverside,7.1,7.9,78.7,82,4,27.3
E05000250,Addison,7.5,7.8,80.3,90.5,5,22.5
E05000251,Askew,8,6.1,78.4,87.6,5,25.6
E05000252,Avonmore and Brook Green,5.4,5,78.9,84.4,5,17.8
E05000253,College Park and Old Oak,9.5,9.8,74,81,5,31.9
E05000254,Fulham Broadway,6.8,5.8,78.3,81.6,5,23.5
E05000255,Fulham Reach,5.4,6.7,81.4,83.9,5,18.2
E05000256,Hammersmith Broadway,7.9,6.9,77.1,82.5,5,27.6
E05000257,Munster,3.6,6.6,81.7,84.8,5,12.9
E05000258,North End,6.6,5.8,79.6,84.4,5,23.1
E05000259,Palace Riverside,2.8,4,82.6,86.2,5,10.9
E05000260,Parsons Green and Walham,3.7,8,81.6,87,5,14.7
E05000261,Ravenscourt Park,5.4,5.9,77.8,83.7,5,20.4
E05000262,Sands End,5.8,6.2,80.3,84.8,5,20.2
E05000263,Shepherd's Bush Green,9.9,6.4,80.2,86.4,5,30.4
E05000264,Town,5.4,6.4,80.1,87,5,17.6
E05000265,Wormholt and White City,10.5,6.7,79.6,84.7,5,33.5
E05000266,Alexandra,4.3,4.9,83.5,88.5,5,11.9
E05000267,Bounds Green,9.7,6.9,79.8,84.3,5,25
E05000268,Bruce Grove,13,6.7,77.5,83.7,5,35
E05000269,Crouch End,4.4,5.9,84.2,85.8,5,14.1
E05000270,Fortis Green,4.5,6.6,82.3,83.8,5,13.7
E05000271,Harringay,9,5.6,79,85.7,5,25.5
E05000272,Highgate,4.5,5.7,83.4,86.5,5,15.3
E05000273,Hornsey,7.7,5,80.6,81.9,5,24.8
E05000274,Muswell Hill,4.4,4.6,82.8,88.1,5,13
E05000275,Noel Park,10.1,10.2,79.3,84.4,5,34
E05000276,Northumberland Park,15.1,8.3,76.4,84.3,5,46.5
E05000277,St Ann's,9.6,8,79.2,86.3,5,26.5
E05000278,Seven Sisters,9.8,5.6,79.6,85.3,5,28.9
E05000279,Stroud Green,6.2,5.2,79.8,84.1,5,20.1
E05000280,Tottenham Green,12,6.4,78.1,82.2,5,38.7
E05000281,Tottenham Hale,10.1,7.4,77.9,81.7,5,35.1
E05000282,West Green,11.3,6.8,80,84.9,5,33.2
E05000283,White Hart Lane,12.1,6.6,77.2,84.3,5,42.3
E05000284,Woodside,9.4,6.4,80.2,85.2,5,28.5
E05000285,Belmont,3.9,8.5,83.9,88.8,5,9.7
E05000286,Canons,5,5.9,82.8,84.2,5,14.6
E05000287,Edgware,7.8,8.7,81,85.9,5,17.4
E05000288,Greenhill,7.3,6.5,80.1,84.8,5,19.1
E05000289,Harrow on the Hill,5.1,9.1,82.1,86,5,15
E05000290,Harrow Weald,5.5,8.3,81.1,85.4,5,18.1
E05000291,Hatch End,3.9,8.1,84.1,87,5,11.4
E05000292,Headstone North,3.2,9.9,84.7,87.8,5,8.4
E05000293,Headstone South,4.6,5.5,84,86.5,5,13.2
E05000294,Kenton East,5.4,6.6,83.5,86.4,5,17
E05000295,Kenton West,5,8.9,80.6,87.1,5,12.2
E05000296,Marlborough,7.3,8.2,80.5,82.4,5,19.1
E05000297,Pinner,4.2,6.6,85.9,87,5,12.7
E05000298,Pinner South,3.1,7.6,85.8,89.2,5,6.8
E05000299,Queensbury,5.1,8.3,85.3,85,5,13.6
E05000300,Rayners Lane,4.7,7.3,83.5,86.8,5,10.2
E05000301,Roxbourne,6.7,7.7,79.7,85.1,5,21.5
E05000302,Roxeth,6.1,7.7,80.8,83.5,5,17.1
E05000303,Stanmore Park,5,8.9,83.8,85.9,5,17.1
E05000304,Wealdstone,8.1,8.4,78.6,82.8,5,22.1
E05000305,West Harrow,5.9,8,80.7,86.4,5,15
E05000306,Brooklands,6.1,7.1,76.4,82,4,21.1
E05000307,Cranham,2.4,4.7,83,87.2,3,7.2
E05000308,Elm Park,5,5.6,78.5,84.8,3,16.7
E05000309,Emerson Park,2.8,5.9,81.3,84.8,3,8.7
E05000310,Gooshays,8,6.4,76.9,80.5,4,33.8
E05000311,Hacton,3.2,6.6,81.3,84.2,3,9.2
E05000312,Harold Wood,4.7,4.7,80.3,84.7,3,17
E05000313,Havering Park,6.1,6.7,78.3,83.3,4,22.6
E05000314,Heaton,7.6,7.6,76.8,80.4,3,30.7
E05000315,Hylands,3.7,5.8,82.3,85,3,11.2
E05000316,Mawneys,5.7,6,78.5,83.5,3,17.2
E05000317,Pettits,3.3,5.2,81,84.4,3,11.1
E05000318,Rainham and Wennington,5.9,6.6,79.7,83.1,3,18.5
E05000319,Romford Town,5.7,5.5,79.5,84.6,4,18
E05000320,St Andrew's,3.9,5.6,79.7,84.1,3,12.1
E05000321,South Hornchurch,6.2,6.3,77.7,82.4,3,22.5
E05000322,Squirrel's Heath,3.7,6.3,80.9,83.9,3,10.6
E05000323,Upminster,2,5,80.2,85.2,3,6.8
E05000324,Barnhill,7.4,6.2,81.5,82.8,4,24.5
E05000325,Botwell,7.5,5.3,76.5,80.5,4,25.6
E05000326,Brunel,4.6,4.5,79.2,83.7,5,18.2
E05000327,Cavendish,3,5.8,83.1,84.7,3,8.8
E05000328,Charville,6.4,5.7,80.2,83.2,4,17.5
E05000329,Eastcote and East Ruislip,2.8,6.5,84.4,87.4,3,8.4
E05000330,Harefield,4.4,3.9,77.2,81.4,3,19.6
E05000331,Heathrow Villages,7.1,6.4,79.3,86.8,4,22.5
E05000332,Hillingdon East,5,5.7,79.4,83.7,4,15.5
E05000333,Ickenham,2.3,3.4,82.7,86.7,3,6.8
E05000334,Manor,3.2,4.8,81.8,85.1,3,8.1
E05000335,Northwood,3.8,6.5,81.8,85,3,10.5
E05000336,Northwood Hills,4.5,7.5,82.3,85.9,3,12.9
E05000337,Pinkwell,7.4,6.4,81.3,84.9,4,23.1
E05000338,South Ruislip,4.4,6.6,80.1,85.4,4,12.2
E05000339,Townfield,8.4,5,77.3,81.5,4,28.9
E05000340,Uxbridge North,4.1,4,81.2,84.9,4,14.8
E05000341,Uxbridge South,4.5,5.3,79.6,83.2,5,16.6
E05000342,West Drayton,6.4,5.3,76.6,81.2,4,26.7
E05000343,West Ruislip,3.6,5.7,82.1,84,3,9.8
E05000344,Yeading,7.3,5.2,80.7,83.8,4,25.3
E05000345,Yiewsley,6.9,5.9,77.2,82.7,4,28
E05000346,Bedfont,7.8,7.5,80.6,85.1,4,23.9
E05000347,Brentford,7.9,6.7,79.2,82.9,5,27.1
E05000348,Chiswick Homefields,3.8,5.7,82.4,84.6,4,12.7
E05000349,Chiswick Riverside,4.7,5.7,81.8,86.3,4,14.4
E05000350,Cranford,9.7,10.7,79.9,84,5,24.6
E05000351,Feltham North,7.7,8.5,76.4,81,4,23
E05000352,Feltham West,6.7,6.4,79.4,81.3,5,24.2
E05000353,Hanworth,9.5,7.9,79,83.7,5,28.2
E05000354,Hanworth Park,7.2,7.9,79.2,85,4,21
E05000355,Heston Central,8.8,7.6,77,82.9,5,21.9
E05000356,Heston East,8.5,8.7,82.3,84.4,5,20.7
E05000357,Heston West,9.4,8.6,78.8,84.6,5,26.9
E05000358,Hounslow Central,7.8,7,80.8,85.7,5,22.1
E05000359,Hounslow Heath,9.4,8.9,80.5,83.6,5,23.2
E05000360,Hounslow South,6.3,8.6,82,86.2,4,12.9
E05000361,Hounslow West,7.4,8.9,77.2,82.6,5,20.9
E05000362,Isleworth,7.6,7.1,78.5,83.5,4,25.8
E05000363,Osterley and Spring Grove,5.6,7.1,81.6,87.4,4,14.8
E05000364,Syon,7.7,6.1,76.5,79.5,4,22.9
E05000365,Turnham Green,4.6,6.3,82.8,86.7,4,13.7
E05000366,Barnsbury,5.2,7,79.3,84.3,5,23.8
E05000367,Bunhill,4.6,7.2,80.3,83.5,5,23.9
E05000368,Caledonian,6.3,8.1,79.5,83.3,5,29.8
E05000369,Canonbury,6.3,5.3,81.2,83.1,5,29.3
E05000370,Clerkenwell,4.9,6.7,82.5,82.1,5,25.2
E05000371,Finsbury Park,7.3,6.7,78.3,82.1,5,34.1
E05000372,Highbury East,4.5,6.3,80.8,83.1,5,20.7
E05000373,Highbury West,5.1,5.7,81.9,86.9,5,24.4
E05000374,Hillrise,7.3,5.4,77.7,82.3,5,30.3
E05000375,Holloway,5.4,4.7,78.9,84.2,5,29.1
E05000376,Junction,6.3,6.9,78.4,82.4,5,30
E05000377,Mildmay,6.7,5.8,78.2,83.1,5,29
E05000378,St George's,6.8,4.9,80,84,5,27.6
E05000379,St Mary's,5.3,5.1,81.2,84.2,5,25.1
E05000380,St Peter's,5.3,7.5,78.5,80.2,5,27
E05000381,Tollington,7.4,6.1,78.6,84.5,5,30.7
E05000400,Alexandra,3.7,4.3,83.2,87.6,5,9.2
E05000401,Berrylands,3.9,6.5,80.7,86,5,13.1
E05000402,Beverley,4.3,5.2,80.6,84.7,5,14.7
E05000403,Canbury,2.8,5.2,85.1,87.1,5,8.8
E05000404,Chessington North and Hook,4.2,6.8,81.6,84.1,5,13.5
E05000405,Chessington South,3.9,6.3,81,85.8,5,12.2
E05000406,Coombe Hill,3.2,4.6,81.4,84.1,5,9.5
E05000407,Coombe Vale,3.1,4.9,82.6,86.7,5,7.9
E05000408,Grove,3.5,4.9,81.8,85.4,5,12.6
E05000409,Norbiton,5.9,8.6,77.9,81.8,5,20.4
E05000410,Old Malden,3.9,6.3,83.5,86.5,5,10.5
E05000411,St James,3.8,5.8,79.9,82.8,5,12.2
E05000412,St Mark's,3.2,4.7,81.7,86.3,5,8.9
E05000413,Surbiton Hill,3.2,6.7,80.5,82,5,9.8
E05000414,Tolworth and Hook Rise,4.7,4.7,81.9,86.6,5,14
E05000415,Tudor,2.8,4.6,82.7,89.3,5,6.3
E05000416,Bishop's,4.3,8.7,76.4,85.1,5,21.5
E05000417,Brixton Hill,6.7,8.1,78.3,81,5,23.5
E05000418,Clapham Common,4.8,5.9,78,82.7,5,19.4
E05000419,Clapham Town,5.4,5.7,76.6,82.6,5,22.7
E05000420,Coldharbour,10.5,7.8,78.7,85.4,5,35.9
E05000421,Ferndale,7.1,7.3,76.7,83,5,31
E05000422,Gipsy Hill,8.9,6.1,77.9,85.1,5,30.8
E05000423,Herne Hill,6.7,7.2,79,84.2,5,21.9
E05000424,Knight's Hill,8.7,5.4,78.6,84.4,5,26.4
E05000425,Larkhall,6.8,8.3,76.4,83.4,5,28.8
E05000426,Oval,5.9,9.8,78.7,84.7,5,25.7
E05000427,Prince's,7.4,7.2,79.3,85.3,5,26.8
E05000428,St Leonard's,7.3,5.9,78.3,82.8,5,23.7
E05000429,Stockwell,8.4,7.3,82.1,84.2,5,27.8
E05000430,Streatham Hill,7.1,6.8,78.1,82.1,5,22.8
E05000431,Streatham South,8.6,7.1,81.5,84.9,5,20.9
E05000432,Streatham Wells,6.6,6.4,78.4,83.2,5,20.9
E05000433,Thornton,6.7,6.5,80.3,84.8,5,20.5
E05000434,Thurlow Park,6.4,7,82,85.4,5,22.3
E05000435,Tulse Hill,9.2,7.6,78.5,82.4,5,28.5
E05000436,Vassall,8.7,6.6,80.9,85.1,5,28.7
E05000437,Bellingham,10.4,8.7,77.6,85.3,4,37.1
E05000438,Blackheath,5.6,7.7,81.2,87.3,5,19.4
E05000439,Brockley,7.1,6.1,81,84.8,5,25.2
E05000440,Catford South,7,9.3,79,82.7,4,22
E05000441,Crofton Park,6,6.2,80.7,84.2,5,18.4
E05000442,Downham,8.5,8.1,77.5,82.4,5,34.6
E05000443,Evelyn,7.8,8.7,77.3,84,5,30.6
E05000444,Forest Hill,7.4,6.5,79.2,83.3,5,20.8
E05000445,Grove Park,6.9,7.3,78.8,82.2,5,25.3
E05000446,Ladywell,6.7,6.1,78.7,83.1,5,20.9
E05000447,Lee Green,5.7,7.8,81.7,84.6,5,19.1
E05000448,Lewisham Central,7.8,6.1,78,82.4,5,30.5
E05000449,New Cross,9.6,7.3,74.6,81.4,5,33.9
E05000450,Perry Vale,7.3,7.5,80.4,86.6,5,23.5
E05000451,Rushey Green,9.2,8.2,78,83.5,4,33.9
E05000452,Sydenham,7.3,8.3,78.6,80.9,5,26.4
E05000453,Telegraph Hill,7.6,6.2,79.7,86,5,24.4
E05000454,Whitefoot,9.6,7.7,81,83.8,5,31.3
E05000455,Abbey,4.1,5.4,80,85.2,5,11.7
E05000456,Cannon Hill,4,7.7,82.3,85.1,5,9.3
E05000457,Colliers Wood,5.4,6.9,80.5,83.6,5,15.7
E05000458,Cricket Green,9.2,7.6,77.3,83.4,5,26.7
E05000459,Dundonald,2.3,5.2,83.9,85.4,5,6.6
E05000460,Figge's Marsh,9.4,7.9,76.9,81.5,5,25.8
E05000461,Graveney,7.5,6.6,82.3,83.4,5,14
E05000462,Hillside,2.9,6.9,82.8,86.7,5,6.6
E05000463,Lavender Fields,7.1,8.4,78.9,83.5,5,19.7
E05000464,Longthornton,8.7,7.6,78.5,82,5,17
E05000465,Lower Morden,3.8,6.3,80.8,84.9,5,9.3
E05000466,Merton Park,3.4,6.2,83.1,86.7,5,8.2
E05000467,Pollards Hill,9.4,6.8,77.4,84.3,5,23.1
E05000468,Ravensbury,7,8.4,79.2,81.7,5,23.4
E05000469,Raynes Park,3.6,7,81.4,83.4,5,9.8
E05000470,St Helier,5.9,8.4,79.6,83.9,5,22.7
E05000471,Trinity,3.8,3.7,79.9,85.4,5,10
E05000472,Village,1.7,5.6,83.6,86.8,5,5.9
E05000473,West Barnes,3.6,7.4,81,83.8,5,8.2
E05000474,Wimbledon Park,3.4,5.2,81.7,85.3,5,9.4
E05000475,Beckton,9.5,8.2,79.4,83.5,5,30.3
E05000476,Boleyn,9.3,10.7,82.5,84.5,5,28
E05000477,Canning Town North,10.6,8.7,79.2,82.1,4,35.8
E05000478,Canning Town South,7.6,9.2,79.8,82.4,5,33.8
E05000479,Custom House,11.2,9.4,77.4,78.2,4,35.4
E05000480,East Ham Central,9.5,9.6,79.7,84.8,5,28.3
E05000481,East Ham North,8.6,11.9,79.9,84.6,5,26
E05000482,East Ham South,9.9,9.6,77.2,80.1,5,31.6
E05000483,Forest Gate North,9.4,7.4,79.9,87.4,5,25.5
E05000484,Forest Gate South,10.7,8.9,77.3,82.2,5,31.4
E05000485,Green Street East,8.5,11.7,80.8,91,5,27.4
E05000486,Green Street West,9.4,10.3,80.3,85.5,5,27.9
E05000487,Little Ilford,10.3,11,77.2,81.9,5,31.5
E05000488,Manor Park,9.6,9.2,78.2,81.4,5,30.3
E05000489,Plaistow North,10.1,10.5,81.4,82.4,5,30.4
E05000490,Plaistow South,9.8,10.4,79.1,85.6,5,29.4
E05000491,Royal Docks,6.3,8.1,78.7,N/A - not available,5,22.5
E05000492,Stratford and New Town,5.3,7.8,78.3,83.8,5,28.5
E05000493,Wall End,10.4,7.7,82.5,84.3,5,27.8
E05000494,West Ham,10.2,9.1,79.9,83.8,5,28.2
E05000516,Barnes,3.3,8.2,83.1,87,5,9.8
E05000517,East Sheen,2.7,5.1,86.4,89.5,5,6.3
E05000518,Fulwell and Hampton Hill,2.9,5,80.2,84,5,7.3
E05000519,"Ham, Petersham and Richmond Riverside",4,4.2,85.7,88.2,5,12.7
E05000520,Hampton,3.1,4.9,82.4,85.6,5,8.5
E05000521,Hampton North,6.1,8.6,81.2,85.5,5,17.4
E05000522,Hampton Wick,2.7,5,83.2,88,5,8.8
E05000523,Heathfield,6.3,6.2,79.8,86.2,5,16.4
E05000524,Kew,3.1,5.2,85,86.8,5,9.4
E05000525,Mortlake and Barnes Common,3.6,7,84,87.6,5,9.7
E05000526,North Richmond,3.2,4.1,82,87.1,5,11.2
E05000527,St Margarets and North Twickenham,2.5,4.8,83.8,86.1,5,6.3
E05000528,South Richmond,2.6,5.1,81.9,87.2,5,8.1
E05000529,South Twickenham,2.7,5.1,84,87.8,5,5.5
E05000530,Teddington,2.3,4.7,82.1,86.2,5,6.1
E05000531,Twickenham Riverside,2.5,8,80.7,85.6,5,6.5
E05000532,West Twickenham,4,5.4,80.7,85.5,5,10.3
E05000533,Whitton,4.5,4.6,80,85.2,5,10.4
E05000555,Beddington North,3.9,7.8,81.3,85.9,4,12.2
E05000556,Beddington South,5.2,11.5,81.9,83.4,4,23
E05000557,Belmont,3.6,6.4,81.4,83.5,4,11.1
E05000558,Carshalton Central,3.6,6.8,80.5,84.1,4,8.9
E05000559,Carshalton South and Clockhouse,2.9,4,82.1,85.3,4,8.9
E05000560,Cheam,2.5,8.3,80.9,83.7,4,6
E05000561,Nonsuch,2.3,6.5,83.1,86,4,7
E05000562,St Helier,5.9,8.6,78.2,84,5,27.5
E05000563,Stonecot,3,5.4,79.3,84.2,4,8.9
E05000564,Sutton Central,5.7,5.8,77.4,83.5,4,19.5
E05000565,Sutton North,3.9,7.2,80.4,84.9,4,12.7
E05000566,Sutton South,4,7.9,77.9,81,4,13.1
E05000567,Sutton West,3,6,80,84.1,4,9.2
E05000568,The Wrythe,4.1,6.6,81,86.1,4,17.1
E05000569,Wallington North,4.4,7.7,80.9,83.9,4,12.9
E05000570,Wallington South,4.6,7.4,80,85.4,4,15.2
E05000571,Wandle Valley,5.8,8.5,79.3,81.7,5,25.4
E05000572,Worcester Park,3.4,4.5,80.8,86.6,4,9.4
E05000590,Cann Hall,8.5,8.1,79.9,83.6,5,26.6
