code,label,obesity_nq5,low_birth_wgt,male_exp,fem_exp,unemploy,deprivation,obesity_prevalence
E05005495,Asfordby,5 - Quintile 5 Lowest 20%,7.7,83.1,83,3.7,12.3,28
E05005496,Bottesford,5 - Quintile 5 Lowest 20%,6.8,81.8,87.1,1.6,5,18.8
E05005497,Croxton Kerrial,5 - Quintile 5 Lowest 20%,8.9,N/A - not available,N/A - not available,2.8,21.3,N/A - not available
E05005498,Frisby-on-the-Wreake,5 - Quintile 5 Lowest 20%,N/A - not available,N/A - not available,N/A - not available,1.2,10.9,N/A - not available
E05005499,Gaddesby,4 - Quintile 4,N/A - not available,N/A - not available,N/A - not available,1.4,13.3,N/A - not available
E05005500,Long Clawson and Stathern,4 - Quintile 4,5.3,80.1,86.2,1.6,7.3,21.7
E05005501,Melton Craven,3 - Quintile 3,3.4,84.4,82.5,4.8,15.9,21.1
E05005502,Melton Dorian,2 - Quintile 2,5.4,78.9,84.1,3.1,11.8,22.2
E05005503,Melton Egerton,2 - Quintile 2,4.8,76.9,81,5.6,19.4,23.3
E05005504,Melton Newport,1 - Quintile 1 Highest 20%,6.7,83.4,85.7,2.9,9.2,24.2
E05005505,Melton Sysonby,2 - Quintile 2,6.6,79.7,83.8,3.4,12.6,20
E05005506,Melton Warwick,5 - Quintile 5 Lowest 20%,4.1,79.8,82.6,4.1,16,25
E05005507,Old Dalby,3 - Quintile 3,6.2,N/A - not available,83.7,2,13.7,20
E05005508,Somerby,3 - Quintile 3,N/A - not available,N/A - not available,N/A - not available,2.3,12.4,N/A - not available
E05005509,Waltham-on-the-Wolds,2 - Quintile 2,N/A - not available,N/A - not available,N/A - not available,2.5,9.7,N/A - not available
E05005510,Wymondham,3 - Quintile 3,N/A - not available,N/A - not available,N/A - not available,3.2,15.9,N/A - not available
E05005531,Oadby Brocks Hill,3 - Quintile 3,5,79.8,84.6,2.8,6.6,14.8
E05005532,Oadby Grange,3 - Quintile 3,10.5,83.1,85.6,1.7,6.1,15.4
E05005533,Oadby St Peter's,3 - Quintile 3,7.9,77.9,86.7,3.9,17,18.5
E05005534,Oadby Uplands,3 - Quintile 3,5.7,82.1,87.1,3.2,7.2,13.8
E05005535,Oadby Woodlands,2 - Quintile 2,11.9,81.1,88.6,2.3,6.3,12.1
E05005536,South Wigston,4 - Quintile 4,4.8,76.9,82.4,5.1,22.3,18.5
E05005537,Wigston All Saints,4 - Quintile 4,3.6,78.3,81.8,3.9,15.4,21.2
E05005538,Wigston Fields,3 - Quintile 3,6.5,78.1,83.4,4.4,21.5,16.3
E05005539,Wigston Meadowcourt,3 - Quintile 3,3.7,85.3,93.3,3.1,9.9,16.7
E05005540,Wigston St Wolstan's,4 - Quintile 4,4.9,78.3,82.5,3.3,11.4,15.6
E05005618,Ashby de la Launde and Cranwell,3 - Quintile 3,4.6,81.9,85.1,1.5,10.7,17.6
E05005619,Bassingham and Brant Broughton,3 - Quintile 3,6.6,79.8,84.8,2,12.3,20.8
E05005620,"Billinghay, Martin and North Kyme",4 - Quintile 4,7.6,77.7,81.5,3.9,24,32.3
E05005621,Bracebridge Heath and Waddington East,5 - Quintile 5 Lowest 20%,6.4,80.9,84.7,2.1,6.9,15.3
E05005622,Branston,4 - Quintile 4,6.3,79.2,83.1,2.8,12.6,19.4
E05005623,Cliff Villages,4 - Quintile 4,6.8,80.6,85.5,1.9,7.3,16
E05005624,"Eagle, Swinderby and Witham St Hughs",4 - Quintile 4,4.3,80.7,85.4,2.1,9.6,26.3
E05005625,Heckington Rural,4 - Quintile 4,4.1,81.3,84.5,3.3,13.3,27.3
E05005626,Heighington and Washingborough,4 - Quintile 4,5.5,81.8,84.3,2.2,6.6,20.6
E05005627,Kirkby la Thorpe and South Kyme,4 - Quintile 4,N/A - not available,78.3,79.9,3,11.9,30
E05005628,Leasingham and Rauceby,3 - Quintile 3,N/A - not available,N/A - not available,85.7,1.7,7.8,N/A - not available
E05005629,Metheringham,3 - Quintile 3,2.8,80.1,82.5,3.1,11.6,21.9
E05005630,North Hykeham Forum,2 - Quintile 2,4.5,N/A - not available,87.2,2.7,7.2,N/A - not available
E05005631,North Hykeham Memorial,3 - Quintile 3,3.8,78.6,84.4,3,9.6,20.8
E05005632,North Hykeham Mill,4 - Quintile 4,4.2,80.5,83.5,2.6,10.6,23.1
E05005633,North Hykeham Moor,1 - Quintile 1 Highest 20%,N/A - not available,83.8,87,2.7,10.4,N/A - not available
E05005634,North Hykeham Witham,1 - Quintile 1 Highest 20%,N/A - not available,81.1,82.7,2.6,14.3,N/A - not available
E05005635,Osbournby,1 - Quintile 1 Highest 20%,7.1,82.8,86,2.8,19.4,20
E05005636,Ruskington,1 - Quintile 1 Highest 20%,9,80,84.9,3,13.3,25
E05005637,Skellingthorpe,1 - Quintile 1 Highest 20%,5.3,80,81.3,2.3,7.1,26.3
E05005638,Sleaford Castle,1 - Quintile 1 Highest 20%,9.5,80.4,86.5,3.9,17.3,27.3
E05005639,Sleaford Holdingham,1 - Quintile 1 Highest 20%,6.2,78.2,84.9,3.9,15.3,28.1
E05005640,Sleaford Navigation,1 - Quintile 1 Highest 20%,3.9,75.1,79.9,5.8,19.9,23.1
E05005641,Sleaford Quarrington and Mareham,1 - Quintile 1 Highest 20%,5.1,84.7,84.9,2,6.3,18.9
E05005642,Sleaford Westholme,1 - Quintile 1 Highest 20%,6.7,77.4,80.8,6.7,22,23.5
E05005643,Waddington West,2 - Quintile 2,4.3,82.8,83.8,1.9,9,25
E05005644,Crowland and Deeping St Nicholas,1 - Quintile 1 Highest 20%,7.3,82,82.6,3.4,16.7,22.9
E05005645,"Donington, Quadring and Gosberton",2 - Quintile 2,8,78.2,81.8,3.5,16.6,25.6
E05005646,Fleet,1 - Quintile 1 Highest 20%,4.8,75.1,79.4,4.3,22.5,N/A - not available
E05005647,Gedney,1 - Quintile 1 Highest 20%,N/A - not available,80,83.2,4.8,29.9,36.4
E05005648,Holbeach Hurn,1 - Quintile 1 Highest 20%,N/A - not available,80.2,81.7,3.9,27.6,27.3
E05005649,Holbeach Town,2 - Quintile 2,6.1,79.4,82.8,4.9,18.1,24
E05005650,Long Sutton,1 - Quintile 1 Highest 20%,7.2,78.1,83.6,4.6,20.6,29.5
E05005651,"Moulton, Weston and Cowbit",1 - Quintile 1 Highest 20%,5.6,81.4,83.8,3.3,16.3,26.2
E05005652,Pinchbeck and Surfleet,2 - Quintile 2,5.7,81.6,86.1,3.9,17.3,19.5
E05005653,Spalding Castle,1 - Quintile 1 Highest 20%,4.2,82.1,86.1,4.9,14.8,27.3
E05005654,Spalding Monks House,2 - Quintile 2,5,81.5,91.8,3.2,11.8,16.2
E05005655,Spalding St John's,2 - Quintile 2,4.3,76.4,81.5,4.7,13.5,22.5
E05005656,Spalding St Mary's,1 - Quintile 1 Highest 20%,6.5,77.3,84.4,5.1,15.6,24.1
E05005657,Spalding St Paul's,4 - Quintile 4,3.1,78.9,83.8,4.8,22.3,26.3
E05005658,Spalding Wygate,2 - Quintile 2,5.6,80.3,82.3,2.5,7.6,22.2
E05005659,Sutton Bridge,1 - Quintile 1 Highest 20%,5.1,76.8,83.1,5.5,26.5,27.6
E05005660,The Saints,2 - Quintile 2,5.3,83.3,85.4,3.4,23.4,16.7
E05005661,Whaplode and Holbeach St John's,1 - Quintile 1 Highest 20%,4.3,82.3,81.4,3,20.2,35.3
E05006377,Beckingham,1 - Quintile 1 Highest 20%,5.4,83.8,82,2.6,13.1,35.7
E05006378,Blyth,2 - Quintile 2,N/A - not available,81.9,82.1,2.6,11.8,N/A - not available
E05006379,Carlton,2 - Quintile 2,8.3,80.1,82.7,3.6,24.6,32.5
